DT_GERACAO;HH_GERACAO;ANO_ELEICAO;CD_PLEITO;DT_PLEITO;NR_TURNO;CD_ELEICAO;DS_ELEICAO;DT_ELEICAO;SG_ UF;CD_MUNICIPIO;NM_MUNICIPIO;NR_ZONA;NR_SECAO;NR_LOCAL_VOTACAO;CD_CARGO_PERGUNTA;DS_CARGO_PERGUNTA;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;QT_APTOS;QT_COMPARECIMENTO;QT_ABSTENCOES;CD_TIPO_URNA;DS_TIPO_URNA;CD_TIPO_VOTAVEL;DS_TIPO_VOTAVEL;NR_VOTAVEL;NM_VOTAVEL;QT_VOTOS;NR_URNA_EFETIVADA;CD_CARGA_1_URNA_EFETIVADA;CD_CARGA_2_URNA_EFETIVADA;CD_FLASCARD_URNA_EFETIVADA;DT_CARGA_URNA_EFETIVADA;DS_CARGO_PERGUNTA_SECAO;DS_AGREGADAS;DT_ABERTURA;DT_ENCERRAMENTO;QT_ELEITORES_BIOMETRIA_NH;NR_JUNTA_APURADORA;NR_TURMA_APURADORA
10/10/2018;19:38:23;2018;228;07/10/2018;1;295;Eleição Geral Federal 2018;07/10/2018;AC;1538;SENADOR GUIOMARD;8;134;1139;1;Presidente;12;PDT;Partido Democrático Trabalhista;266;237;29;1;Apurada;1;Nominal;12;CIRO GOMES;6;1000413;772.665.515.250.899.777.;477.301;C050F90C;26/09/2018 15:28;1 - 134;#NULO#;07/10/2018 08:00;07/10/2018 17:50;19;#NULO#;#NULO#
10/10/2018;19:38:23;2018;228;07/10/2018;1;295;Eleição Geral Federal 2018;07/10/2018;AC;1538;SENADOR GUIOMARD;8;134;1139;1;Presidente;13;PT;Partido dos Trabalhadores;266;237;29;1;Apurada;1;Nominal;13;FERNANDO HADDAD;40;1000413;772.665.515.250.899.777.;477.301;C050F90C;26/09/2018 15:28;1 - 134;#NULO#;07/10/2018 08:00;07/10/2018 17:50;19;#NULO#;#NULO#
10/10/2018;19:38:23;2018;228;07/10/2018;1;295;Eleição Geral Federal 2018;07/10/2018;AC;1538;SENADOR GUIOMARD;8;134;1139;1;Presidente;15;MDB;Movimento Democrático Brasileiro;266;237;29;1;Apurada;1;Nominal;15;HENRIQUE MEIRELLES;3;1000413;772.665.515.250.899.777.;477.301;C050F90C;26/09/2018 15:28;1 - 134;#NULO#;07/10/2018 08:00;07/10/2018 17:50;19;#NULO#;#NULO#
10/10/2018;19:38:23;2018;228;07/10/2018;1;295;Eleição Geral Federal 2018;07/10/2018;AC;1538;SENADOR GUIOMARD;8;134;1139;1;Presidente;17;PSL;Partido Social Liberal;266;237;29;1;Apurada;1;Nominal;17;JAIR BOLSONARO;133;1000413;772.665.515.250.899.777.;477.301;C050F90C;26/09/2018 15:28;1 - 134;#NULO#;07/10/2018 08:00;07/10/2018 17:50;19;#NULO#;#NULO#
10/10/2018;19:38:23;2018;228;07/10/2018;1;295;Eleição Geral Federal 2018;07/10/2018;AC;1538;SENADOR GUIOMARD;8;134;1139;1;Presidente;18;REDE;Rede Sustentabilidade;266;237;29;1;Apurada;1;Nominal;18;MARINA SILVA;2;1000413;772.665.515.250.899.777.;477.301;C050F90C;26/09/2018 15:28;1 - 134;#NULO#;07/10/2018 08:00;07/10/2018 17:50;19;#NULO#;#NULO#
10/10/2018;19:38:23;2018;228;07/10/2018;1;295;Eleição Geral Federal 2018;07/10/2018;AC;1538;SENADOR GUIOMARD;8;134;1139;1;Presidente;45;PSDB;Partido da Social Democracia Brasileira;266;237;29;1;Apurada;1;Nominal;45;GERALDO ALCKMIN;36;1000413;772.665.515.250.899.777.;477.301;C050F90C;26/09/2018 15:28;1 - 134;#NULO#;07/10/2018 08:00;07/10/2018 17:50;19;#NULO#;#NULO#
10/10/2018;19:38:23;2018;228;07/10/2018;1;295;Eleição Geral Federal 2018;07/10/2018;AC;1538;SENADOR GUIOMARD;8;134;1139;1;Presidente;51;PATRI;Patriota;266;237;29;1;Apurada;1;Nominal;51;CABO DACIOLO;7;1000413;772.665.515.250.899.777.;477.301;C050F90C;26/09/2018 15:28;1 - 134;#NULO#;07/10/2018 08:00;07/10/2018 17:50;19;#NULO#;#NULO#
10/10/2018;19:38:23;2018;228;07/10/2018;1;297;Eleições Gerais Estaduais 2018;07/10/2018;AC;1538;SENADOR GUIOMARD;8;134;1139;3;Governador;#NULO#;#NULO#;#NULO#;266;237;29;1;Apurada;2;Branco;95;Branco;5;1000413;772.665.515.250.899.777.;477.301;C050F90C;26/09/2018 15:28;3 - 134;#NULO#;07/10/2018 08:00;07/10/2018 17:50;19;#NULO#;#NULO#
10/10/2018;19:38:23;2018;228;07/10/2018;1;297;Eleições Gerais Estaduais 2018;07/10/2018;AC;1538;SENADOR GUIOMARD;8;134;1139;3;Governador;#NULO#;#NULO#;#NULO#;266;237;29;1;Apurada;3;Nulo;96;Nulo;8;1000413;772.665.515.250.899.777.;477.301;C050F90C;26/09/2018 15:28;3 - 134;#NULO#;07/10/2018 08:00;07/10/2018 17:50;19;#NULO#;#NULO#
10/10/2018;19:38:23;2018;228;07/10/2018;1;297;Eleições Gerais Estaduais 2018;07/10/2018;AC;1538;SENADOR GUIOMARD;8;134;1139;3;Governador;11;PP;Partido Progressista;266;237;29;1;Apurada;1;Nominal;11;GLADSON CAMELI;130;1000413;772.665.515.250.899.777.;477.301;C050F90C;26/09/2018 15:28;3 - 134;#NULO#;07/10/2018 08:00;07/10/2018 17:50;19;#NULO#;#NULO#
10/10/2018;19:38:23;2018;228;07/10/2018;1;297;Eleições Gerais Estaduais 2018;07/10/2018;AC;1538;SENADOR GUIOMARD;8;134;1139;3;Governador;13;PT;Partido dos Trabalhadores;266;237;29;1;Apurada;1;Nominal;13;MARCUS ALEXANDRE;70;1000413;772.665.515.250.899.777.;477.301;C050F90C;26/09/2018 15:28;3 - 134;#NULO#;07/10/2018 08:00;07/10/2018 17:50;19;#NULO#;#NULO#
10/10/2018;19:38:23;2018;228;07/10/2018;1;297;Eleições Gerais Estaduais 2018;07/10/2018;AC;1538;SENADOR GUIOMARD;8;134;1139;3;Governador;17;PSL;Partido Social Liberal;266;237;29;1;Apurada;1;Nominal;17;CORONEL ULYSSES;23;1000413;772.665.515.250.899.777.;477.301;C050F90C;26/09/2018 15:28;3 - 134;#NULO#;07/10/2018 08:00;07/10/2018 17:50;19;#NULO#;#NULO#
10/10/2018;19:38:23;2018;228;07/10/2018;1;297;Eleições Gerais Estaduais 2018;07/10/2018;AC;1538;SENADOR GUIOMARD;8;134;1139;3;Governador;18;REDE;Rede Sustentabilidade;266;237;29;1;Apurada;1;Nominal;18;JANAINA FURTADO;1;1000413;772.665.515.250.899.777.;477.301;C050F90C;26/09/2018 15:28;3 - 134;#NULO#;07/10/2018 08:00;07/10/2018 17:50;19;#NULO#;#NULO#
10/10/2018;19:38:23;2018;228;07/10/2018;1;297;Eleições Gerais Estaduais 2018;07/10/2018;AC;1538;SENADOR GUIOMARD;8;134;1139;5;Senador;#NULO#;#NULO#;#NULO#;266;237;29;1;Apurada;2;Branco;95;Branco;15;1000413;772.665.515.250.899.777.;477.301;C050F90C;26/09/2018 15:28;5 - 134;#NULO#;07/10/2018 08:00;07/10/2018 17:50;19;#NULO#;#NULO#
10/10/2018;19:38:23;2018;228;07/10/2018;1;297;Eleições Gerais Estaduais 2018;07/10/2018;AC;1538;SENADOR GUIOMARD;8;134;1139;5;Senador;#NULO#;#NULO#;#NULO#;266;237;29;1;Apurada;3;Nulo;96;Nulo;35;1000413;772.665.515.250.899.777.;477.301;C050F90C;26/09/2018 15:28;5 - 134;#NULO#;07/10/2018 08:00;07/10/2018 17:50;19;#NULO#;#NULO#
10/10/2018;19:38:23;2018;228;07/10/2018;1;297;Eleições Gerais Estaduais 2018;07/10/2018;AC;1538;SENADOR GUIOMARD;8;134;1139;5;Senador;13;PT;Partido dos Trabalhadores;266;237;29;1;Apurada;1;Nominal;131;JORGE VIANA;45;1000413;772.665.515.250.899.777.;477.301;C050F90C;26/09/2018 15:28;5 - 134;#NULO#;07/10/2018 08:00;07/10/2018 17:50;19;#NULO#;#NULO#
10/10/2018;19:38:23;2018;228;07/10/2018;1;297;Eleições Gerais Estaduais 2018;07/10/2018;AC;1538;SENADOR GUIOMARD;8;134;1139;5;Senador;13;PT;Partido dos Trabalhadores;266;237;29;1;Apurada;1;Nominal;133;NEY AMORIM;48;1000413;772.665.515.250.899.777.;477.301;C050F90C;26/09/2018 15:28;5 - 134;#NULO#;07/10/2018 08:00;07/10/2018 17:50;19;#NULO#;#NULO#
10/10/2018;19:38:23;2018;228;07/10/2018;1;297;Eleições Gerais Estaduais 2018;07/10/2018;AC;1538;SENADOR GUIOMARD;8;134;1139;5;Senador;15;MDB;Movimento Democrático Brasileiro;266;237;29;1;Apurada;1;Nominal;151;MÁRCIO BITTAR;125;1000413;772.665.515.250.899.777.;477.301;C050F90C;26/09/2018 15:28;5 - 134;#NULO#;07/10/2018 08:00;07/10/2018 17:50;19;#NULO#;#NULO#
