"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_PLEITO";"DT_PLEITO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_ UF";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"NR_SECAO";"NR_LOCAL_VOTACAO";"CD_CARGO_PERGUNTA";"DS_CARGO_PERGUNTA";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"QT_APTOS";"QT_COMPARECIMENTO";"QT_ABSTENCOES";"CD_TIPO_URNA";"DS_TIPO_URNA";"CD_TIPO_VOTAVEL";"DS_TIPO_VOTAVEL";"NR_VOTAVEL";"NM_VOTAVEL";"QT_VOTOS";"NR_URNA_EFETIVADA";"CD_CARGA_1_URNA_EFETIVADA";"CD_CARGA_2_URNA_EFETIVADA";"CD_FLASCARD_URNA_EFETIVADA";"DT_CARGA_URNA_EFETIVADA";"DS_CARGO_PERGUNTA_SECAO";"DS_AGREGADAS";"DT_ABERTURA";"DT_ENCERRAMENTO";"QT_ELEITORES_BIOMETRIA_NH";"NR_JUNTA_APURADORA";"NR_TURMA_APURADORA"
"10/10/2018";"19:38:23";"2018";"228";"07/10/2018";"1";"295";"Eleição Geral Federal 2018";"07/10/2018";"AC";"01007";"BUJARI";"9";"192";"1058";"1";"Presidente";"12";"PDT";"Partido Democrático Trabalhista";"335";"281";"54";"1";"Apurada";"1";"Nominal";"12";"CIRO GOMES";"10";"1763491";"684.067.625.548.497.316.";"898.620";"1D9EE409";"29/09/2018 14:30:00";"1 - 192";"#NULO#";"07/10/2018 08:00:00";"07/10/2018 17:00:34";"9";"#NULO#";"#NULO#"
"10/10/2018";"19:38:23";"2018";"228";"07/10/2018";"1";"295";"Eleição Geral Federal 2018";"07/10/2018";"AC";"01007";"BUJARI";"9";"192";"1058";"1";"Presidente";"13";"PT";"Partido dos Trabalhadores";"335";"281";"54";"1";"Apurada";"1";"Nominal";"13";"FERNANDO HADDAD";"32";"1763491";"684.067.625.548.497.316.";"898.620";"1D9EE409";"29/09/2018 14:30:00";"1 - 192";"#NULO#";"07/10/2018 08:00:00";"07/10/2018 17:00:34";"9";"#NULO#";"#NULO#"
"10/10/2018";"19:38:23";"2018";"228";"07/10/2018";"1";"295";"Eleição Geral Federal 2018";"07/10/2018";"AC";"01007";"BUJARI";"9";"192";"1058";"1";"Presidente";"15";"MDB";"Movimento Democrático Brasileiro";"335";"281";"54";"1";"Apurada";"1";"Nominal";"15";"HENRIQUE MEIRELLES";"4";"1763491";"684.067.625.548.497.316.";"898.620";"1D9EE409";"29/09/2018 14:30:00";"1 - 192";"#NULO#";"07/10/2018 08:00:00";"07/10/2018 17:00:34";"9";"#NULO#";"#NULO#"
"10/10/2018";"19:38:23";"2018";"228";"07/10/2018";"1";"295";"Eleição Geral Federal 2018";"07/10/2018";"AC";"01007";"BUJARI";"9";"192";"1058";"1";"Presidente";"17";"PSL";"Partido Social Liberal";"335";"281";"54";"1";"Apurada";"1";"Nominal";"17";"JAIR BOLSONARO";"188";"1763491";"684.067.625.548.497.316.";"898.620";"1D9EE409";"29/09/2018 14:30:00";"1 - 192";"#NULO#";"07/10/2018 08:00:00";"07/10/2018 17:00:34";"9";"#NULO#";"#NULO#"
"10/10/2018";"19:38:23";"2018";"228";"07/10/2018";"1";"295";"Eleição Geral Federal 2018";"07/10/2018";"AC";"01007";"BUJARI";"9";"192";"1058";"1";"Presidente";"18";"REDE";"Rede Sustentabilidade";"335";"281";"54";"1";"Apurada";"1";"Nominal";"18";"MARINA SILVA";"8";"1763491";"684.067.625.548.497.316.";"898.620";"1D9EE409";"29/09/2018 14:30:00";"1 - 192";"#NULO#";"07/10/2018 08:00:00";"07/10/2018 17:00:34";"9";"#NULO#";"#NULO#"
"10/10/2018";"19:38:23";"2018";"228";"07/10/2018";"1";"295";"Eleição Geral Federal 2018";"07/10/2018";"AC";"01007";"BUJARI";"9";"192";"1058";"1";"Presidente";"19";"PODE";"Podemos";"335";"281";"54";"1";"Apurada";"1";"Nominal";"19";"ALVARO DIAS";"2";"1763491";"684.067.625.548.497.316.";"898.620";"1D9EE409";"29/09/2018 14:30:00";"1 - 192";"#NULO#";"07/10/2018 08:00:00";"07/10/2018 17:00:34";"9";"#NULO#";"#NULO#"
"10/10/2018";"19:38:23";"2018";"228";"07/10/2018";"1";"295";"Eleição Geral Federal 2018";"07/10/2018";"AC";"01007";"BUJARI";"9";"192";"1058";"1";"Presidente";"30";"NOVO";"Partido Novo";"335";"281";"54";"1";"Apurada";"1";"Nominal";"30";"JOÃO AMOÊDO";"2";"1763491";"684.067.625.548.497.316.";"898.620";"1D9EE409";"29/09/2018 14:30:00";"1 - 192";"#NULO#";"07/10/2018 08:00:00";"07/10/2018 17:00:34";"9";"#NULO#";"#NULO#"
"10/10/2018";"19:38:23";"2018";"228";"07/10/2018";"1";"295";"Eleição Geral Federal 2018";"07/10/2018";"AC";"01007";"BUJARI";"9";"192";"1058";"1";"Presidente";"45";"PSDB";"Partido da Social Democracia Brasileira";"335";"281";"54";"1";"Apurada";"1";"Nominal";"45";"GERALDO ALCKMIN";"25";"1763491";"684.067.625.548.497.316.";"898.620";"1D9EE409";"29/09/2018 14:30:00";"1 - 192";"#NULO#";"07/10/2018 08:00:00";"07/10/2018 17:00:34";"9";"#NULO#";"#NULO#"
"10/10/2018";"19:38:23";"2018";"228";"07/10/2018";"1";"295";"Eleição Geral Federal 2018";"07/10/2018";"AC";"01007";"BUJARI";"9";"192";"1058";"1";"Presidente";"51";"PATRI";"Patriota";"335";"281";"54";"1";"Apurada";"1";"Nominal";"51";"CABO DACIOLO";"2";"1763491";"684.067.625.548.497.316.";"898.620";"1D9EE409";"29/09/2018 14:30:00";"1 - 192";"#NULO#";"07/10/2018 08:00:00";"07/10/2018 17:00:34";"9";"#NULO#";"#NULO#"
"10/10/2018";"19:38:23";"2018";"228";"07/10/2018";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"AC";"01007";"BUJARI";"9";"192";"1058";"3";"Governador";"#NULO#";"#NULO#";"#NULO#";"335";"281";"54";"1";"Apurada";"2";"Branco";"95";"Branco";"2";"1763491";"684.067.625.548.497.316.";"898.620";"1D9EE409";"29/09/2018 14:30:00";"3 - 192";"#NULO#";"07/10/2018 08:00:00";"07/10/2018 17:00:34";"9";"#NULO#";"#NULO#"
"10/10/2018";"19:38:23";"2018";"228";"07/10/2018";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"AC";"01007";"BUJARI";"9";"192";"1058";"3";"Governador";"#NULO#";"#NULO#";"#NULO#";"335";"281";"54";"1";"Apurada";"3";"Nulo";"96";"Nulo";"16";"1763491";"684.067.625.548.497.316.";"898.620";"1D9EE409";"29/09/2018 14:30:00";"3 - 192";"#NULO#";"07/10/2018 08:00:00";"07/10/2018 17:00:34";"9";"#NULO#";"#NULO#"
"10/10/2018";"19:38:23";"2018";"228";"07/10/2018";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"AC";"01007";"BUJARI";"9";"192";"1058";"3";"Governador";"11";"PP";"Partido Progressista";"335";"281";"54";"1";"Apurada";"1";"Nominal";"11";"GLADSON CAMELI";"161";"1763491";"684.067.625.548.497.316.";"898.620";"1D9EE409";"29/09/2018 14:30:00";"3 - 192";"#NULO#";"07/10/2018 08:00:00";"07/10/2018 17:00:34";"9";"#NULO#";"#NULO#"
"10/10/2018";"19:38:23";"2018";"228";"07/10/2018";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"AC";"01007";"BUJARI";"9";"192";"1058";"3";"Governador";"13";"PT";"Partido dos Trabalhadores";"335";"281";"54";"1";"Apurada";"1";"Nominal";"13";"MARCUS ALEXANDRE";"81";"1763491";"684.067.625.548.497.316.";"898.620";"1D9EE409";"29/09/2018 14:30:00";"3 - 192";"#NULO#";"07/10/2018 08:00:00";"07/10/2018 17:00:34";"9";"#NULO#";"#NULO#"
"10/10/2018";"19:38:23";"2018";"228";"07/10/2018";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"AC";"01007";"BUJARI";"9";"192";"1058";"3";"Governador";"17";"PSL";"Partido Social Liberal";"335";"281";"54";"1";"Apurada";"1";"Nominal";"17";"CORONEL ULYSSES";"19";"1763491";"684.067.625.548.497.316.";"898.620";"1D9EE409";"29/09/2018 14:30:00";"3 - 192";"#NULO#";"07/10/2018 08:00:00";"07/10/2018 17:00:34";"9";"#NULO#";"#NULO#"
"10/10/2018";"19:38:23";"2018";"228";"07/10/2018";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"AC";"01007";"BUJARI";"9";"192";"1058";"3";"Governador";"18";"REDE";"Rede Sustentabilidade";"335";"281";"54";"1";"Apurada";"1";"Nominal";"18";"JANAINA FURTADO";"2";"1763491";"684.067.625.548.497.316.";"898.620";"1D9EE409";"29/09/2018 14:30:00";"3 - 192";"#NULO#";"07/10/2018 08:00:00";"07/10/2018 17:00:34";"9";"#NULO#";"#NULO#"
"10/10/2018";"19:38:23";"2018";"228";"07/10/2018";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"AC";"01007";"BUJARI";"9";"192";"1058";"5";"Senador";"#NULO#";"#NULO#";"#NULO#";"335";"281";"54";"1";"Apurada";"2";"Branco";"95";"Branco";"12";"1763491";"684.067.625.548.497.316.";"898.620";"1D9EE409";"29/09/2018 14:30:00";"5 - 192";"#NULO#";"07/10/2018 08:00:00";"07/10/2018 17:00:34";"9";"#NULO#";"#NULO#"
"10/10/2018";"19:38:23";"2018";"228";"07/10/2018";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"AC";"01007";"BUJARI";"9";"192";"1058";"5";"Senador";"#NULO#";"#NULO#";"#NULO#";"335";"281";"54";"1";"Apurada";"3";"Nulo";"96";"Nulo";"28";"1763491";"684.067.625.548.497.316.";"898.620";"1D9EE409";"29/09/2018 14:30:00";"5 - 192";"#NULO#";"07/10/2018 08:00:00";"07/10/2018 17:00:34";"9";"#NULO#";"#NULO#"
"10/10/2018";"19:38:23";"2018";"228";"07/10/2018";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"AC";"01007";"BUJARI";"9";"192";"1058";"5";"Senador";"13";"PT";"Partido dos Trabalhadores";"335";"281";"54";"1";"Apurada";"1";"Nominal";"131";"JORGE VIANA";"62";"1763491";"684.067.625.548.497.316.";"898.620";"1D9EE409";"29/09/2018 14:30:00";"5 - 192";"#NULO#";"07/10/2018 08:00:00";"07/10/2018 17:00:34";"9";"#NULO#";"#NULO#"
"10/10/2018";"19:38:23";"2018";"228";"07/10/2018";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"AC";"01007";"BUJARI";"9";"192";"1058";"5";"Senador";"13";"PT";"Partido dos Trabalhadores";"335";"281";"54";"1";"Apurada";"1";"Nominal";"133";"NEY AMORIM";"77";"1763491";"684.067.625.548.497.316.";"898.620";"1D9EE409";"29/09/2018 14:30:00";"5 - 192";"#NULO#";"07/10/2018 08:00:00";"07/10/2018 17:00:34";"9";"#NULO#";"#NULO#"
"10/10/2018";"19:38:23";"2018";"228";"07/10/2018";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"AC";"01007";"BUJARI";"9";"192";"1058";"5";"Senador";"15";"MDB";"Movimento Democrático Brasileiro";"335";"281";"54";"1";"Apurada";"1";"Nominal";"151";"MÁRCIO BITTAR";"143";"1763491";"684.067.625.548.497.316.";"898.620";"1D9EE409";"29/09/2018 14:30:00";"5 - 192";"#NULO#";"07/10/2018 08:00:00";"07/10/2018 17:00:34";"9";"#NULO#";"#NULO#"
"10/10/2018";"19:38:23";"2018";"228";"07/10/2018";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"AC";"01007";"BUJARI";"9";"192";"1058";"5";"Senador";"17";"PSL";"Partido Social Liberal";"335";"281";"54";"1";"Apurada";"1";"Nominal";"177";"PEDRAZZA";"9";"1763491";"684.067.625.548.497.316.";"898.620";"1D9EE409";"29/09/2018 14:30:00";"5 - 192";"#NULO#";"07/10/2018 08:00:00";"07/10/2018 17:00:34";"9";"#NULO#";"#NULO#"
"10/10/2018";"19:38:23";"2018";"228";"07/10/2018";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"AC";"01007";"BUJARI";"9";"192";"1058";"5";"Senador";"18";"REDE";"Rede Sustentabilidade";"335";"281";"54";"1";"Apurada";"1";"Nominal";"181";"MINORU KINPARA";"61";"1763491";"684.067.625.548.497.316.";"898.620";"1D9EE409";"29/09/2018 14:30:00";"5 - 192";"#NULO#";"07/10/2018 08:00:00";"07/10/2018 17:00:34";"9";"#NULO#";"#NULO#"
"10/10/2018";"19:38:23";"2018";"228";"07/10/2018";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"AC";"01007";"BUJARI";"9";"192";"1058";"5";"Senador";"55";"PSD";"Partido Social Democrático";"335";"281";"54";"1";"Apurada";"1";"Nominal";"555";"PETECÃO";"170";"1763491";"684.067.625.548.497.316.";"898.620";"1D9EE409";"29/09/2018 14:30:00";"5 - 192";"#NULO#";"07/10/2018 08:00:00";"07/10/2018 17:00:34";"9";"#NULO#";"#NULO#"
